,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
779,779,2022-01-03 15:53:50.027000064,1641225170435000064,59.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,23,86469113623748332417,1.330539929319749e+18
770,770,2022-01-05 03:42:05.411000064,1641353956543000064,167.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,errorNearby,0.0,14,86469113623748332417,1.330539929319749e+18
769,769,2022-01-03 15:58:18.540000000,1641225332476000000,165.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yesConditional,0.5,13,86469113623748332417,1.330539929319749e+18
765,765,2022-01-03 15:57:37.014000128,1641225347728999936,109.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,9,86469113623748332417,1.330539929319749e+18
766,766,2022-01-03 16:23:17.868000000,1641226796329999872,201.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,10,86469113623748332417,1.330539929319749e+18
767,767,2022-01-13 11:36:34.147000064,1642073761732000000,32.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,11,86469113623748332417,1.330539929319749e+18
772,772,2022-01-03 16:10:10.078000128,1641226087681999872,121.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,16,86469113623748332417,1.330539929319749e+18
759,759,2022-01-03 16:12:20.235000064,1641226256729999872,25.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,3,86469113623748332417,1.330539929319749e+18
764,764,2022-01-03 15:55:56.016999936,1641225206745999872,148.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yesConditional,0.5,8,86469113623748332417,1.330539929319749e+18
1755,1755,2022-01-05 15:59:35.355000064,1641398347836999936,26.0,closed,864691136237483324,2022-01-03 13:40:43.478000000,17,yes,1.0,1000,86469113623748332417,1.330539929319749e+18
760,760,2022-01-03 15:47:21.768000000,1641224639140000000,201.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,4,86469113623748332417,1.330539929319749e+18
758,758,2022-01-04 02:04:03.284000000,1641261645470000128,194.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yesConditional,0.5,2,86469113623748332417,1.330539929319749e+18
757,757,2022-01-03 16:32:42.919000064,1641227176820000000,385.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yesConditional,0.5,1,86469113623748332417,1.330539929319749e+18
1669,1669,2022-01-04 04:00:42.599000064,1641268761076000000,80.0,closed,864691136237483324,2021-12-30 13:31:15.979000000,17,yes,1.0,25,86469113623748332417,1.330539929319749e+18
761,761,2022-01-03 16:03:28.231000064,-9223372036854775808,133.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,5,86469113623748332417,1.330539929319749e+18
1670,1670,2022-01-03 15:52:40.875000064,1641225030599000064,129.0,closed,864691136237483324,2021-12-30 13:31:15.979000000,17,yes,1.0,26,86469113623748332417,1.330539929319749e+18
762,762,2022-01-03 16:19:56.028999936,1641226435040000000,360.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,6,86469113623748332417,1.330539929319749e+18
924,924,2022-01-03 16:06:59.840999936,1641225894608000000,124.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,24,86469113628678470733,1.3305413702276352e+18
903,903,2022-01-03 16:26:02.616000000,1641226829476999936,314.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,3,86469113628678470733,1.3305413702276352e+18
923,923,2022-01-03 16:13:21.433999872,1641226282724999936,117.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,23,86469113628678470733,1.3305413702276352e+18
922,922,2022-01-03 16:24:31.356000000,1641226999220000000,71.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,22,86469113628678470733,1.3305413702276352e+18
921,921,2022-01-03 16:55:07.652000000,1641228555476000000,350.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,21,86469113628678470733,1.3305413702276352e+18
912,912,2022-01-03 19:11:16.299000064,1641236747243000064,327.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,12,86469113628678470733,1.3305413702276352e+18
919,919,2022-01-03 16:24:09.004999936,1641227003324999936,45.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,19,86469113628678470733,1.3305413702276352e+18
918,918,2022-01-03 16:12:13.524000000,1641226199532999936,132.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,18,86469113628678470733,1.3305413702276352e+18
920,920,2022-01-03 16:23:37.065999872,1641226897248000000,118.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,20,86469113628678470733,1.3305413702276352e+18
1761,1761,2022-01-05 16:15:21.616000000,1641399222670000128,97.0,closed,864691136286784707,2022-01-03 13:40:43.950000000,33,yes,1.0,1000,86469113628678470733,1.3305413702276352e+18
901,901,2022-01-03 19:57:53.888000000,1641239692324000000,180.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,1,86469113628678470733,1.3305413702276352e+18
914,914,2022-01-05 04:04:07.126000128,1641355288369999872,158.0,closed,864691136286784707,2021-12-30 13:29:19.120000000,33,yes,1.0,14,86469113628678470733,1.3305413702276352e+18
