,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_laplacian_iters,decimation_factor,comments,proposed_endpoints
74,75,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.5277777777777778,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
75,76,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.5822222222222222,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
76,77,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.6366666666666667,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
77,78,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.6911111111111111,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
78,79,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.7455555555555555,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
79,80,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.8,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
80,81,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.31,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
81,82,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.36444444444444446,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
82,83,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.41888888888888887,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
83,84,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.47333333333333333,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
84,85,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.5277777777777778,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
85,86,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.5822222222222222,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
86,87,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.6366666666666667,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
87,88,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.6911111111111111,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
88,89,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.7455555555555555,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
89,90,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,200,0.8,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
90,91,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,225,0.31,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
